Algorithm,alpha,l2_ratio,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE train,MSE train,IA train,R2 train,MAE val,MSE val,IA val,R2 val,MAE test,MSE test,IA test,R2 test
LR-EN(7),0.000856335,0.604564759,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.055695416,0.077151308,0.996175476,0.984925258,0.060626945,0.081484145,0.961990605,0.750274976,0.064342196,0.087251891,0.962133422,0.796852828
LR-EN(7),0.000367866,0.213735499,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0.054596074,0.075912558,0.996302472,0.985397717,0.059028023,0.079635009,0.961015754,0.751686813,0.061932302,0.084661903,0.96237927,0.80089013
LR-EN(7),0.000173648,0.203406181,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.054308017,0.075781666,0.996317138,0.985449772,0.058377023,0.079007601,0.960883492,0.75231725,0.061332719,0.084024812,0.962496659,0.802854035
LR-EN(7),0.00114166,0.293128484,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0.054995818,0.076026314,0.996286528,0.985357747,0.059666682,0.08015494,0.96176769,0.752160957,0.06362946,0.086244408,0.962027285,0.797074089
LR-EN(7),0.000329376,0.301768008,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0.054201685,0.075205976,0.996370754,0.985664191,0.058846579,0.079193929,0.961378531,0.746197468,0.062526325,0.085520605,0.961446786,0.787289083
LR-EN(7),0.000222258,0.193201125,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0.0540461,0.075076717,0.996382215,0.985704575,0.058942167,0.079175552,0.961876029,0.747729833,0.0634201,0.086375727,0.961326985,0.787394817
LR-EN(7),0.00017085,0.292459926,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0.053947981,0.074614388,0.996422095,0.985861407,0.057918271,0.077846426,0.961527875,0.756563874,0.061323768,0.083286572,0.962809535,0.802732601
LR-EN(7),0.001757471,0.042897468,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0.055121039,0.076112729,0.996279323,0.985331711,0.059801902,0.080310577,0.961208483,0.749823748,0.062928349,0.085721312,0.962051987,0.797334548
LR-EN(10),0.000378273,0.176949841,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0.053427977,0.073673667,0.996508507,0.986203676,0.058437262,0.078005725,0.962116115,0.749317799,0.062866132,0.084943941,0.961742064,0.789024592
LR-EN(10),0.000410583,0.009304581,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0.053388582,0.073661736,0.996509663,0.986206408,0.058298632,0.077821391,0.962193151,0.751721508,0.062798435,0.084772407,0.961968161,0.791448655
LR-EN(10),0.000245405,0.256175006,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0.053719329,0.074268924,0.996454608,0.98599048,0.058480076,0.07839787,0.961206155,0.75465087,0.062489468,0.084187796,0.962418521,0.801258229
LR-EN(10),0.000353898,0.319905271,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0.053436976,0.07366983,0.996508062,0.986203269,0.058469466,0.078006427,0.962284737,0.750562545,0.063077193,0.085172477,0.961770185,0.789002322
LR-EN(10),0.00043787,0.110553166,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0.053865746,0.074168407,0.996472231,0.986060196,0.058784538,0.078492018,0.961550005,0.755580509,0.063080129,0.084722674,0.962155917,0.800393249
LR-EN(10),0.000128168,0.247071731,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0.053738095,0.074383541,0.996442922,0.985941464,0.05829335,0.078227719,0.961465064,0.755450703,0.062249446,0.084103417,0.962296706,0.800057832
LR-EN(10),0.000139856,0.241461598,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0.054607972,0.076216171,0.99628423,0.98531808,0.059877786,0.080831829,0.961439377,0.753471542,0.063927895,0.086540724,0.961481125,0.797870192
LR-EN(10),0.000439401,0.151053297,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0.054145698,0.075316341,0.996369983,0.985660977,0.05905155,0.079600372,0.961251261,0.753451477,0.063323617,0.085694085,0.961549351,0.798386068
LR-EN(10),0.000454257,0.020291186,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0.053708289,0.07401613,0.996486889,0.986116631,0.058613327,0.078324171,0.961674797,0.75682082,0.063162772,0.08482588,0.961948925,0.799462387
LR-EN(10),0.000116063,0.170096103,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0.054105495,0.075550523,0.996338275,0.985530727,0.058764655,0.079404811,0.960861986,0.751531774,0.062215425,0.084844961,0.962062525,0.80072886
LR-EN(10),0.000271749,0.129458388,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0.053742707,0.07435043,0.996445802,0.985955622,0.058233476,0.078089892,0.961376219,0.754152545,0.062007748,0.083739376,0.962404795,0.801083204
LR-EN(10),0.00012836,0.085731969,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0.053378256,0.073517578,0.996528889,0.986276588,0.058749631,0.078431774,0.961839515,0.747455297,0.063905874,0.086133372,0.96043521,0.780811344
LR-EN(10),0.000174839,0.166679731,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0.053580477,0.074224923,0.996458315,0.986002494,0.057990478,0.0778734,0.961463606,0.75615671,0.061768955,0.083505046,0.962594109,0.802471366
LR-EN(10),0.000180279,0.014096781,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0.053549843,0.074209984,0.996459599,0.986006601,0.057947694,0.077809188,0.961481866,0.756635087,0.06187008,0.083576518,0.962558613,0.802477306
