Algorithm,epochs,layers,neurons,batch_size,learning_rate,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE train,MSE train,IA train,R2 train,MAE val,MSE val,IA val,R2 val,MAE test,MSE test,IA test,R2 test
NN(10),195,3,28,34,0.00742763,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0.043356071,0.057107966,0.998037636,0.991974226,0.053230939,0.067058142,0.983498784,0.934911532,0.066873751,0.080700687,0.971720568,0.896214409
NN(10),189,3,35,4,0.001013927,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0.034634765,0.046415408,0.998628428,0.994541186,0.048582814,0.062552914,0.98446509,0.939584154,0.053488381,0.065721991,0.977905672,0.911927944
NN(10),164,2,22,85,0.034295248,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0.04198702,0.054736429,0.997966826,0.992101451,0.059492473,0.074859895,0.981960503,0.929572239,0.073063628,0.086390017,0.94257288,0.742560468
NN(10),82,4,12,21,0.006078574,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0.042048593,0.054733695,0.997885789,0.991538047,0.052884909,0.067499998,0.98340197,0.93276536,0.074064011,0.085970093,0.948407681,0.776485159
NN(10),54,2,13,43,0.004954084,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0.039122554,0.050971771,0.998310114,0.993288431,0.050950437,0.065952512,0.975917384,0.881481531,0.050020163,0.064895029,0.979561362,0.911826966
NN(10),185,4,26,190,0.014939212,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0.039465668,0.051152477,0.998208612,0.992916592,0.048664094,0.063074193,0.982795395,0.929706769,0.05323568,0.066258101,0.977375045,0.915313224
NN(10),63,3,22,84,0.01895035,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0.046184727,0.061137283,0.997602654,0.99074973,0.057687685,0.073843522,0.976600246,0.908178567,0.061400618,0.076503514,0.971501638,0.882563899
NN(10),50,2,14,89,0.025841643,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0.039467954,0.051843871,0.998259664,0.993044961,0.050417158,0.064661894,0.979057753,0.911773649,0.049979925,0.06364052,0.986050344,0.942833931
NN(10),72,3,13,60,0.02373617,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0.042085327,0.0554015,0.998083611,0.992301087,0.057377548,0.072440189,0.978022243,0.909595102,0.056014974,0.069022643,0.971377213,0.895597987
NN(10),141,3,48,184,0.023840898,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0.0360433,0.047539348,0.998541094,0.994263999,0.054735405,0.069415138,0.980739268,0.923959817,0.060277032,0.072938606,0.959958126,0.854074625
